DATA,DOCUMENTS,TYPE MOVEMENT,ITEM NUMBER,SUM,AMOUNT
20210101,2021010101,101,104566,1048,24
20210101,2021010102,101,102513,476,16
20210101,2021010102,101,103300,210,12
20210101,2021010102,101,103299,420,24
20210101,2021010102,101,102954,904,30
20210101,2021010102,101,102957,417,12
20210101,2021010102,101,102956,208,6
20210101,2021010102,101,102955,417,12
20210101,2021010102,101,104480,633,12
20210101,2021010102,101,103938,562,12
20210101,2021010102,101,105687,208,6
20210101,2021010102,101,105686,208,6
20210101,2021010102,101,102103,422,12
20210101,2021010102,101,102104,234,6
20210101,2021010102,101,103484,547,12
20210101,2021010102,101,103486,716,12
20210101,2021010102,101,109673,381,18
20210101,2021010102,101,105986,665,8
20210101,2021010102,101,105988,750,10
20210101,2021010102,101,106413,272,6
20210101,2021010102,101,102278,273,6
20210101,2021010102,101,102279,273,6
20210101,2021010102,101,106365,498,8
20210101,2021010102,101,103606,838,8
20210101,2021010103,101,108119,1069,24
20210101,2021010103,101,102430,4057,27
20210101,2021010103,101,107064,1596,24
20210101,2021010103,101,103282,1249,12
20210101,2021010104,101,107012,954,6
20210101,2021010104,101,107014,1014,6
20210101,2021010104,101,104004,738,4
20210101,2021010104,101,109483,1177,8
20210101,2021010105,101,109458,372,16
20210101,2021010105,101,109499,372,16
20210101,2021010105,101,104732,339,6
20210101,2021010105,101,104564,1800,30
20210101,2021010105,101,101900,8078,144
20210101,2021010105,101,109453,204,12
20210101,2021010105,101,104568,349,8
20210101,2021010105,101,104567,349,8
20210101,2021010105,101,107712,349,8
20210101,2021010105,101,107711,349,8
20210101,2021010105,101,109144,1130,18
20210101,2021010105,101,104565,641,5
20210101,2021010105,101,105606,1488,10
20210101,2021010105,101,103430,1264,10
20210101,2021010105,101,103914,5054,48
20210101,2021010106,101,100110,1089,12
20210101,2021010107,101,106668,3478,60
20210101,2021010107,101,109173,2884,12
20210101,2021010108,101,102041,2186,20
20210101,2021010108,101,108674,473,6
20210101,2021010109,101,107068,336,6
20210101,2021010109,101,108658,336,6
20210101,2021010109,101,100619,582,6
20210101,2021010109,101,107973,429,6
20210101,2021010109,101,107974,324,6
20210101,2021010109,101,102698,1728,36
20210101,2021010109,101,102697,864,18
20210101,2021010109,101,106126,342,12
20210101,2021010109,101,109571,671,6
20210101,2021010109,101,109574,883,6
20210101,2021010109,101,102745,2187,48
20210101,2021010109,101,105438,4943,48
20210101,2021010109,101,101353,1603,30
20210101,2021010109,101,100309,936,6
20210101,2021010109,101,101568,589,18
20210101,2021010109,101,106177,451,6
20210101,2021010109,101,103494,3679,48
20210101,2021010109,101,108584,326,8
20210101,2021010109,101,105377,1289,8
20210101,2021010109,101,100060,2405,6
20210101,2021010109,101,100061,1257,5
20210101,2021010109,101,103596,2873,8
20210101,2021010109,101,101117,6339,12
20210101,2021010110,101,104424,681,5
20210101,2021010110,101,104728,1861,25
20210101,2021010110,101,104072,7413,35
20210101,2021010111,101,107493,273,6
20210101,2021010111,101,107307,209,6
20210101,2021010112,101,103439,325,9
20210101,2021010112,101,106448,288,6
20210101,2021010112,101,105048,330,12
20210101,2021010112,101,104047,505,24
20210101,2021010112,101,107425,202,6
20210101,2021010112,101,102407,401,12
20210101,2021010112,101,105733,424,12
20210101,2021010112,101,105849,848,24
20210101,2021010112,101,105732,848,24
20210101,2021010112,101,109368,190,8
20210101,2021010112,101,109367,190,8
20210101,2021010112,101,100058,520,16
20210101,2021010112,101,106891,190,8
20210101,2021010112,101,106890,190,8
20210101,2021010112,101,107290,417,12
20210101,2021010112,101,107297,304,12
20210101,2021010112,101,107283,609,24
20210101,2021010112,101,107282,1218,48
20210101,2021010112,101,107289,939,32
20210101,2021010112,101,101667,464,12
20210101,2021010112,101,104485,113,4
20210101,2021010112,101,105145,381,9
20210101,2021010112,101,105308,385,9
20210101,2021010112,101,106879,385,9
20210101,2021010112,101,106071,324,6
20210101,2021010112,101,107829,504,24
20210101,2021010112,101,107824,1009,48
20210101,2021010112,101,102734,711,18
20210101,2021010112,101,100457,877,12
20210101,2021010112,101,102960,490,12
20210101,2021010112,101,106353,395,6
20210101,2021010112,101,103001,241,6
20210101,2021010112,101,108744,1145,12
20210101,2021010112,101,108745,1608,12
20210101,2021010112,101,100120,358,6
20210101,2021010112,101,104897,283,6
20210101,2021010112,101,101271,1074,12
20210101,2021010112,101,103158,246,8
20210101,2021010112,101,102755,1137,24
20210101,2021010112,101,102736,587,12
20210101,2021010112,101,101333,532,12
20210101,2021010112,101,106350,897,12
20210101,2021010112,101,100741,576,20
20210101,2021010112,101,103077,1039,8
20210101,2021010112,101,101715,1060,30
20210101,2021010112,101,102608,388,6
20210101,2021010112,101,109370,200,8
20210101,2021010112,101,107830,1035,14
20210101,2021010113,101,109427,4492,40
20210101,2021010113,101,101249,1133,16
20210101,2021010113,101,101250,686,8
20210101,2021010113,101,109428,362,4
20210101,2021010113,101,101251,1016,12
20210101,2021010113,101,105418,610,8
20210101,2021010113,101,106797,929,12
20210101,2021010114,101,102099,214,6
20210101,2021010114,101,102172,362,6
20210101,2021010114,101,102097,534,12
20210101,2021010114,101,102672,1663,6
20210101,2021010114,101,109587,473,6
20210101,2021010114,101,106002,1168,12
20210101,2021010114,101,106214,1207,8
20210101,2021010114,101,106001,679,8
20210101,2021010114,101,106746,686,10
20210101,2021010115,101,103154,352,6
20210101,2021010115,101,103287,260,6
20210101,2021010115,101,103289,416,6
20210101,2021010115,101,103012,443,4
20210101,2021010115,101,103288,388,6
20210101,2021010116,101,103663,299,6
20210101,2021010116,101,107661,398,6
20210101,2021010116,101,103694,490,6
20210101,2021010116,101,100389,231,10
20210101,2021010116,101,107684,511,12
20210101,2021010116,101,107683,511,12
20210101,2021010116,101,107685,511,12
20210101,2021010116,101,107691,373,6
